week,title,turn,date,rating
2026-31,김부장,1,06.26.,9.5
2026-31,김부장,2,06.27.,15.7
2026-31,김부장,3,07.03.,18.8
2026-31,김부장,4,07.04.,21.6
2026-31,김부장,5,07.10.,20.5
2026-31,김부장,6,07.11.,22.3
2026-31,김부장,7,07.17.,21.9
2026-31,김부장,8,07.18.,23.1
2026-31,김부장,9,07.24.,21.5
2026-31,김부장,10,07.25.,23.0
2026-31,사랑이 온다,1,07.25.,11.7
2026-31,사랑이 온다,2,07.26.,13.0
2026-31,기쁜 우리 좋은 날,54,06.15.,10.3
2026-31,기쁜 우리 좋은 날,55,06.16.,10.2
2026-31,기쁜 우리 좋은 날,56,06.17.,10.2
2026-31,기쁜 우리 좋은 날,57,06.18.,10.4
2026-31,기쁜 우리 좋은 날,58,06.19.,9.6
2026-31,기쁜 우리 좋은 날,59,06.22.,10.8
2026-31,기쁜 우리 좋은 날,60,06.23.,9.9
2026-31,기쁜 우리 좋은 날,61,06.24.,10.2
2026-31,기쁜 우리 좋은 날,62,06.25.,11.3
2026-31,기쁜 우리 좋은 날,63,06.26.,9.7
2026-31,기쁜 우리 좋은 날,64,06.29.,11.0
2026-31,기쁜 우리 좋은 날,65,06.30.,10.3
2026-31,기쁜 우리 좋은 날,66,07.01.,10.3
2026-31,기쁜 우리 좋은 날,67,07.02.,10.8
2026-31,기쁜 우리 좋은 날,68,07.03.,10.0
2026-31,기쁜 우리 좋은 날,69,07.06.,11.1
2026-31,기쁜 우리 좋은 날,70,07.07.,10.6
2026-31,기쁜 우리 좋은 날,71,07.08.,10.5
2026-31,기쁜 우리 좋은 날,72,07.09.,11.2
2026-31,기쁜 우리 좋은 날,73,07.10.,10.9
2026-31,기쁜 우리 좋은 날,74,07.13.,10.9
2026-31,기쁜 우리 좋은 날,75,07.14.,10.9
2026-31,기쁜 우리 좋은 날,76,07.15.,10.7
2026-31,기쁜 우리 좋은 날,77,07.16.,11.6
2026-31,기쁜 우리 좋은 날,78,07.17.,10.1
2026-31,기쁜 우리 좋은 날,79,07.20.,10.9
2026-31,기쁜 우리 좋은 날,80,07.21.,10.6
2026-31,기쁜 우리 좋은 날,81,07.22.,10.4
2026-31,기쁜 우리 좋은 날,82,07.23.,11.7
2026-31,기쁜 우리 좋은 날,83,07.24.,10.2
2026-31,붉은 진주,63,06.08.,7.2
2026-31,붉은 진주,64,06.09.,7.3
2026-31,붉은 진주,65,06.10.,6.5
2026-31,붉은 진주,66,06.11.,7.5
2026-31,붉은 진주,67,06.15.,7.3
2026-31,붉은 진주,68,06.16.,7.2
2026-31,붉은 진주,69,06.17.,7.2
2026-31,붉은 진주,70,06.18.,7.2
2026-31,붉은 진주,71,06.22.,7.2
2026-31,붉은 진주,72,06.23.,7.3
2026-31,붉은 진주,73,06.24.,7.2
2026-31,붉은 진주,74,06.29.,7.0
2026-31,붉은 진주,75,06.30.,7.7
2026-31,붉은 진주,76,07.01.,7.6
2026-31,붉은 진주,77,07.02.,6.8
2026-31,붉은 진주,78,07.06.,7.3
2026-31,붉은 진주,79,07.07.,7.2
2026-31,붉은 진주,80,07.08.,7.8
2026-31,붉은 진주,81,07.09.,7.8
2026-31,붉은 진주,82,07.10.,7.7
2026-31,붉은 진주,83,07.13.,7.4
2026-31,붉은 진주,84,07.14.,8.2
2026-31,붉은 진주,85,07.15.,7.0
2026-31,붉은 진주,86,07.16.,7.8
2026-31,붉은 진주,87,07.17.,7.5
2026-31,붉은 진주,88,07.20.,8.1
2026-31,붉은 진주,89,07.21.,8.1
2026-31,붉은 진주,90,07.22.,8.1
2026-31,붉은 진주,91,07.23.,7.4
2026-31,붉은 진주,92,07.24.,7.6
2026-31,결혼의 완성,1,07.04.,4.4
2026-31,결혼의 완성,2,07.05.,6.4
2026-31,결혼의 완성,3,07.11.,5.3
2026-31,결혼의 완성,4,07.12.,7.2
2026-31,결혼의 완성,5,07.18.,5.0
2026-31,결혼의 완성,6,07.19.,6.4
2026-31,결혼의 완성,7,07.25.,4.8
2026-31,결혼의 완성,8,07.26.,7.3
2026-31,가족관계증명서,1,07.06.,4.3
2026-31,가족관계증명서,2,07.07.,3.9
2026-31,가족관계증명서,3,07.08.,4.3
2026-31,가족관계증명서,4,07.09.,4.3
2026-31,가족관계증명서,5,07.10.,4.1
2026-31,가족관계증명서,6,07.13.,4.6
2026-31,가족관계증명서,7,07.14.,4.9
2026-31,가족관계증명서,8,07.15.,4.2
2026-31,가족관계증명서,9,07.16.,4.4
2026-31,가족관계증명서,10,07.17.,4.4
