week,title,turn,date,rating
2026-23,사랑을 처방해 드립니다,7,02.21.,16.1
2026-23,사랑을 처방해 드립니다,8,02.22.,17.1
2026-23,사랑을 처방해 드립니다,9,02.28.,15.7
2026-23,사랑을 처방해 드립니다,10,03.01.,17.4
2026-23,사랑을 처방해 드립니다,11,03.08.,18.0
2026-23,사랑을 처방해 드립니다,12,03.08.,11.3
2026-23,사랑을 처방해 드립니다,13,03.14.,13.9
2026-23,사랑을 처방해 드립니다,14,03.15.,15.4
2026-23,사랑을 처방해 드립니다,15,03.21.,12.3
2026-23,사랑을 처방해 드립니다,16,03.22.,15.3
2026-23,사랑을 처방해 드립니다,17,03.28.,13.2
2026-23,사랑을 처방해 드립니다,18,03.29.,14.5
2026-23,사랑을 처방해 드립니다,19,04.04.,12.0
2026-23,사랑을 처방해 드립니다,20,04.05.,14.4
2026-23,사랑을 처방해 드립니다,21,04.11.,12.6
2026-23,사랑을 처방해 드립니다,22,04.12.,14.5
2026-23,사랑을 처방해 드립니다,23,04.18.,13.5
2026-23,사랑을 처방해 드립니다,24,04.19.,14.9
2026-23,사랑을 처방해 드립니다,25,04.25.,12.7
2026-23,사랑을 처방해 드립니다,26,04.26.,14.9
2026-23,사랑을 처방해 드립니다,27,05.02.,13.3
2026-23,사랑을 처방해 드립니다,28,05.03.,14.7
2026-23,사랑을 처방해 드립니다,29,05.09.,12.9
2026-23,사랑을 처방해 드립니다,30,05.10.,14.3
2026-23,사랑을 처방해 드립니다,31,05.16.,12.5
2026-23,사랑을 처방해 드립니다,32,05.17.,13.9
2026-23,사랑을 처방해 드립니다,33,05.23.,12.3
2026-23,사랑을 처방해 드립니다,34,05.24.,13.2
2026-23,사랑을 처방해 드립니다,35,05.30.,13.3
2026-23,사랑을 처방해 드립니다,36,05.31.,15.0
2026-23,멋진 신세계,1,05.08.,4.1
2026-23,멋진 신세계,2,05.09.,5.4
2026-23,멋진 신세계,3,05.15.,5.8
2026-23,멋진 신세계,4,05.16.,6.0
2026-23,멋진 신세계,5,05.22.,9.5
2026-23,멋진 신세계,6,05.23.,10.3
2026-23,멋진 신세계,7,05.29.,9.4
2026-23,멋진 신세계,8,05.30.,10.4
2026-23,붉은 진주,29,04.08.,7.0
2026-23,붉은 진주,30,04.09.,7.4
2026-23,붉은 진주,31,04.13.,7.1
2026-23,붉은 진주,32,04.14.,7.6
2026-23,붉은 진주,33,04.15.,7.2
2026-23,붉은 진주,34,04.16.,6.7
2026-23,붉은 진주,35,04.20.,7.5
2026-23,붉은 진주,36,04.21.,7.5
2026-23,붉은 진주,37,04.22.,7.2
2026-23,붉은 진주,38,04.23.,7.3
2026-23,붉은 진주,39,04.27.,7.7
2026-23,붉은 진주,40,04.28.,8.0
2026-23,붉은 진주,41,04.29.,7.1
2026-23,붉은 진주,42,04.30.,7.1
2026-23,붉은 진주,43,05.04.,6.6
2026-23,붉은 진주,44,05.05.,7.4
2026-23,붉은 진주,45,05.06.,7.3
2026-23,붉은 진주,46,05.07.,7.2
2026-23,붉은 진주,47,05.11.,7.1
2026-23,붉은 진주,48,05.12.,7.1
2026-23,붉은 진주,49,05.13.,6.7
2026-23,붉은 진주,50,05.14.,7.3
2026-23,붉은 진주,51,05.18.,7.1
