date,kind,movieNm,trendDate,audiCnt
2026-06-10,week,디스클로저 데이,2026-06-04,0
2026-06-10,week,디스클로저 데이,2026-06-05,0
2026-06-10,week,디스클로저 데이,2026-06-06,0
2026-06-10,week,디스클로저 데이,2026-06-07,0
2026-06-10,week,디스클로저 데이,2026-06-08,0
2026-06-10,week,디스클로저 데이,2026-06-09,0
2026-06-10,week,디스클로저 데이,2026-06-10,56079
2026-06-10,full,디스클로저 데이,2026-06-10,56079
2026-06-10,week,군체,2026-06-04,79915
2026-06-10,week,군체,2026-06-05,117729
2026-06-10,week,군체,2026-06-06,281916
2026-06-10,week,군체,2026-06-07,204209
2026-06-10,week,군체,2026-06-08,52036
2026-06-10,week,군체,2026-06-09,44397
2026-06-10,week,군체,2026-06-10,47227
2026-06-10,full,군체,2026-05-21,199754
2026-06-10,full,군체,2026-05-22,230038
2026-06-10,full,군체,2026-05-23,475779
2026-06-10,full,군체,2026-05-24,577506
2026-06-10,full,군체,2026-05-25,516980
2026-06-10,full,군체,2026-05-26,150483
2026-06-10,full,군체,2026-05-27,209402
2026-06-10,full,군체,2026-05-28,125433
2026-06-10,full,군체,2026-05-29,182226
2026-06-10,full,군체,2026-05-30,423318
2026-06-10,full,군체,2026-05-31,365463
2026-06-10,full,군체,2026-06-01,101982
2026-06-10,full,군체,2026-06-02,135393
2026-06-10,full,군체,2026-06-03,331477
2026-06-10,full,군체,2026-06-04,79917
2026-06-10,full,군체,2026-06-05,117729
2026-06-10,full,군체,2026-06-06,281926
2026-06-10,full,군체,2026-06-07,204211
2026-06-10,full,군체,2026-06-08,52036
2026-06-10,full,군체,2026-06-09,44401
2026-06-10,full,군체,2026-06-10,47227
2026-06-10,week,와일드 씽,2026-06-04,40463
2026-06-10,week,와일드 씽,2026-06-05,60413
2026-06-10,week,와일드 씽,2026-06-06,149037
2026-06-10,week,와일드 씽,2026-06-07,111730
2026-06-10,week,와일드 씽,2026-06-08,31702
2026-06-10,week,와일드 씽,2026-06-09,30279
2026-06-10,week,와일드 씽,2026-06-10,32253
2026-06-10,full,와일드 씽,2026-06-02,1190
2026-06-10,full,와일드 씽,2026-06-03,160752
2026-06-10,full,와일드 씽,2026-06-04,40463
2026-06-10,full,와일드 씽,2026-06-05,60415
2026-06-10,full,와일드 씽,2026-06-06,149038
2026-06-10,full,와일드 씽,2026-06-07,111734
2026-06-10,full,와일드 씽,2026-06-08,31704
2026-06-10,full,와일드 씽,2026-06-09,30281
2026-06-10,full,와일드 씽,2026-06-10,32253
2026-06-10,week,백룸,2026-06-04,27071
2026-06-10,week,백룸,2026-06-05,38942
2026-06-10,week,백룸,2026-06-06,93070
2026-06-10,week,백룸,2026-06-07,67803
2026-06-10,week,백룸,2026-06-08,17838
2026-06-10,week,백룸,2026-06-09,16155
2026-06-10,week,백룸,2026-06-10,17742
2026-06-10,full,백룸,2026-05-27,54104
2026-06-10,full,백룸,2026-05-28,33233
2026-06-10,full,백룸,2026-05-29,57805
2026-06-10,full,백룸,2026-05-30,132450
2026-06-10,full,백룸,2026-05-31,112956
2026-06-10,full,백룸,2026-06-01,28524
2026-06-10,full,백룸,2026-06-02,39065
2026-06-10,full,백룸,2026-06-03,114100
2026-06-10,full,백룸,2026-06-04,27072
2026-06-10,full,백룸,2026-06-05,38948
2026-06-10,full,백룸,2026-06-06,93073
2026-06-10,full,백룸,2026-06-07,67804
2026-06-10,full,백룸,2026-06-08,17838
2026-06-10,full,백룸,2026-06-09,16155
2026-06-10,full,백룸,2026-06-10,17742
2026-06-10,week,상자 속의 양,2026-06-04,0
2026-06-10,week,상자 속의 양,2026-06-05,0
2026-06-10,week,상자 속의 양,2026-06-06,0
2026-06-10,week,상자 속의 양,2026-06-07,0
2026-06-10,week,상자 속의 양,2026-06-08,0
2026-06-10,week,상자 속의 양,2026-06-09,0
2026-06-10,week,상자 속의 양,2026-06-10,8751
2026-06-10,full,상자 속의 양,2026-06-10,8751
2026-06-10,week,마이클,2026-06-04,8681
2026-06-10,week,마이클,2026-06-05,11049
2026-06-10,week,마이클,2026-06-06,28968
2026-06-10,week,마이클,2026-06-07,23504
2026-06-10,week,마이클,2026-06-08,6224
2026-06-10,week,마이클,2026-06-09,6737
2026-06-10,week,마이클,2026-06-10,4336
2026-06-10,full,마이클,2026-05-13,99902
2026-06-10,full,마이클,2026-05-14,59035
2026-06-10,full,마이클,2026-05-15,86922
2026-06-10,full,마이클,2026-05-16,204424
2026-06-10,full,마이클,2026-05-17,179025
2026-06-10,full,마이클,2026-05-18,43653
2026-06-10,full,마이클,2026-05-19,38030
2026-06-10,full,마이클,2026-05-20,48845
2026-06-10,full,마이클,2026-05-21,29285
2026-06-10,full,마이클,2026-05-22,41008
2026-06-10,full,마이클,2026-05-23,103647
2026-06-10,full,마이클,2026-05-24,122849
2026-06-10,full,마이클,2026-05-25,109376
2026-06-10,full,마이클,2026-05-26,20593
2026-06-10,full,마이클,2026-05-27,34486
2026-06-10,full,마이클,2026-05-28,18579
2026-06-10,full,마이클,2026-05-29,23414
2026-06-10,full,마이클,2026-05-30,58074
2026-06-10,full,마이클,2026-05-31,55194
2026-06-10,full,마이클,2026-06-01,14792
2026-06-10,full,마이클,2026-06-02,21071
2026-06-10,full,마이클,2026-06-03,37148
2026-06-10,full,마이클,2026-06-04,8683
2026-06-10,full,마이클,2026-06-05,11049
2026-06-10,full,마이클,2026-06-06,28968
2026-06-10,full,마이클,2026-06-07,23504
2026-06-10,full,마이클,2026-06-08,6224
2026-06-10,full,마이클,2026-06-09,6737
2026-06-10,full,마이클,2026-06-10,4336
2026-06-10,week,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-04,3244
2026-06-10,week,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-05,2337
2026-06-10,week,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-06,3400
2026-06-10,week,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-07,0
2026-06-10,week,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-08,0
2026-06-10,week,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-09,0
2026-06-10,week,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-10,3932
2026-06-10,full,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-03,11499
2026-06-10,full,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-04,3244
2026-06-10,full,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-05,2337
2026-06-10,full,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-06,3400
2026-06-10,full,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-07,0
2026-06-10,full,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-08,0
2026-06-10,full,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-09,0
2026-06-10,full,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-10,3932
2026-06-10,week,싱 스트리트,2026-06-04,0
2026-06-10,week,싱 스트리트,2026-06-05,0
2026-06-10,week,싱 스트리트,2026-06-06,0
2026-06-10,week,싱 스트리트,2026-06-07,0
2026-06-10,week,싱 스트리트,2026-06-08,0
2026-06-10,week,싱 스트리트,2026-06-09,0
2026-06-10,week,싱 스트리트,2026-06-10,3089
2026-06-10,full,싱 스트리트,2026-06-10,3089
2026-06-10,week,쏜애플 '나의 세기' 익스텐디드 플레이 필름,2026-06-04,0
2026-06-10,week,쏜애플 '나의 세기' 익스텐디드 플레이 필름,2026-06-05,0
2026-06-10,week,쏜애플 '나의 세기' 익스텐디드 플레이 필름,2026-06-06,0
2026-06-10,week,쏜애플 '나의 세기' 익스텐디드 플레이 필름,2026-06-07,0
2026-06-10,week,쏜애플 '나의 세기' 익스텐디드 플레이 필름,2026-06-08,0
2026-06-10,week,쏜애플 '나의 세기' 익스텐디드 플레이 필름,2026-06-09,0
2026-06-10,week,쏜애플 '나의 세기' 익스텐디드 플레이 필름,2026-06-10,2000
2026-06-10,full,쏜애플 '나의 세기' 익스텐디드 플레이 필름,2026-06-10,2000
2026-06-10,week,만달로리안과 그로구,2026-06-04,4175
2026-06-10,week,만달로리안과 그로구,2026-06-05,4480
2026-06-10,week,만달로리안과 그로구,2026-06-06,14858
2026-06-10,week,만달로리안과 그로구,2026-06-07,11841
2026-06-10,week,만달로리안과 그로구,2026-06-08,1956
2026-06-10,week,만달로리안과 그로구,2026-06-09,2372
2026-06-10,week,만달로리안과 그로구,2026-06-10,1798
2026-06-10,full,만달로리안과 그로구,2026-05-27,26242
2026-06-10,full,만달로리안과 그로구,2026-05-28,12037
2026-06-10,full,만달로리안과 그로구,2026-05-29,15000
2026-06-10,full,만달로리안과 그로구,2026-05-30,33808
2026-06-10,full,만달로리안과 그로구,2026-05-31,28240
2026-06-10,full,만달로리안과 그로구,2026-06-01,8136
2026-06-10,full,만달로리안과 그로구,2026-06-02,13749
2026-06-10,full,만달로리안과 그로구,2026-06-03,17877
2026-06-10,full,만달로리안과 그로구,2026-06-04,4175
2026-06-10,full,만달로리안과 그로구,2026-06-05,4480
2026-06-10,full,만달로리안과 그로구,2026-06-06,14858
2026-06-10,full,만달로리안과 그로구,2026-06-07,11841
2026-06-10,full,만달로리안과 그로구,2026-06-08,1956
2026-06-10,full,만달로리안과 그로구,2026-06-09,2372
