date,kind,movieNm,trendDate,audiCnt
2026-06-08,week,군체,2026-06-02,135392
2026-06-08,week,군체,2026-06-03,331477
2026-06-08,week,군체,2026-06-04,79915
2026-06-08,week,군체,2026-06-05,117729
2026-06-08,week,군체,2026-06-06,281917
2026-06-08,week,군체,2026-06-07,204210
2026-06-08,week,군체,2026-06-08,52036
2026-06-08,full,군체,2026-05-21,199754
2026-06-08,full,군체,2026-05-22,230038
2026-06-08,full,군체,2026-05-23,475779
2026-06-08,full,군체,2026-05-24,577506
2026-06-08,full,군체,2026-05-25,516980
2026-06-08,full,군체,2026-05-26,150483
2026-06-08,full,군체,2026-05-27,209402
2026-06-08,full,군체,2026-05-28,125433
2026-06-08,full,군체,2026-05-29,182226
2026-06-08,full,군체,2026-05-30,423318
2026-06-08,full,군체,2026-05-31,365463
2026-06-08,full,군체,2026-06-01,101982
2026-06-08,full,군체,2026-06-02,135393
2026-06-08,full,군체,2026-06-03,331477
2026-06-08,full,군체,2026-06-04,79917
2026-06-08,full,군체,2026-06-05,117729
2026-06-08,full,군체,2026-06-06,281926
2026-06-08,full,군체,2026-06-07,204211
2026-06-08,full,군체,2026-06-08,52036
2026-06-08,week,와일드 씽,2026-06-02,0
2026-06-08,week,와일드 씽,2026-06-03,160748
2026-06-08,week,와일드 씽,2026-06-04,40463
2026-06-08,week,와일드 씽,2026-06-05,60413
2026-06-08,week,와일드 씽,2026-06-06,149037
2026-06-08,week,와일드 씽,2026-06-07,111730
2026-06-08,week,와일드 씽,2026-06-08,31704
2026-06-08,full,와일드 씽,2026-06-02,1190
2026-06-08,full,와일드 씽,2026-06-03,160752
2026-06-08,full,와일드 씽,2026-06-04,40463
2026-06-08,full,와일드 씽,2026-06-05,60415
2026-06-08,full,와일드 씽,2026-06-06,149038
2026-06-08,full,와일드 씽,2026-06-07,111734
2026-06-08,full,와일드 씽,2026-06-08,31704
2026-06-08,week,백룸,2026-06-02,39064
2026-06-08,week,백룸,2026-06-03,114096
2026-06-08,week,백룸,2026-06-04,27071
2026-06-08,week,백룸,2026-06-05,38942
2026-06-08,week,백룸,2026-06-06,93070
2026-06-08,week,백룸,2026-06-07,67803
2026-06-08,week,백룸,2026-06-08,17838
2026-06-08,full,백룸,2026-05-27,54104
2026-06-08,full,백룸,2026-05-28,33233
2026-06-08,full,백룸,2026-05-29,57805
2026-06-08,full,백룸,2026-05-30,132450
2026-06-08,full,백룸,2026-05-31,112956
2026-06-08,full,백룸,2026-06-01,28524
2026-06-08,full,백룸,2026-06-02,39065
2026-06-08,full,백룸,2026-06-03,114100
2026-06-08,full,백룸,2026-06-04,27072
2026-06-08,full,백룸,2026-06-05,38948
2026-06-08,full,백룸,2026-06-06,93073
2026-06-08,full,백룸,2026-06-07,67804
2026-06-08,full,백룸,2026-06-08,17838
2026-06-08,week,마이클,2026-06-02,21071
2026-06-08,week,마이클,2026-06-03,37148
2026-06-08,week,마이클,2026-06-04,8681
2026-06-08,week,마이클,2026-06-05,11049
2026-06-08,week,마이클,2026-06-06,28968
2026-06-08,week,마이클,2026-06-07,23504
2026-06-08,week,마이클,2026-06-08,6224
2026-06-08,full,마이클,2026-05-13,99902
2026-06-08,full,마이클,2026-05-14,59035
2026-06-08,full,마이클,2026-05-15,86922
2026-06-08,full,마이클,2026-05-16,204424
2026-06-08,full,마이클,2026-05-17,179025
2026-06-08,full,마이클,2026-05-18,43653
