date,kind,movieNm,trendDate,audiCnt
2026-06-15,week,군체,2026-06-09,44397
2026-06-15,week,군체,2026-06-10,47226
2026-06-15,week,군체,2026-06-11,40619
2026-06-15,week,군체,2026-06-12,54064
2026-06-15,week,군체,2026-06-13,132018
2026-06-15,week,군체,2026-06-14,114961
2026-06-15,week,군체,2026-06-15,33836
2026-06-15,full,군체,2026-05-21,199754
2026-06-15,full,군체,2026-05-22,230038
2026-06-15,full,군체,2026-05-23,475779
2026-06-15,full,군체,2026-05-24,577506
2026-06-15,full,군체,2026-05-25,516980
2026-06-15,full,군체,2026-05-26,150483
2026-06-15,full,군체,2026-05-27,209402
2026-06-15,full,군체,2026-05-28,125433
2026-06-15,full,군체,2026-05-29,182226
2026-06-15,full,군체,2026-05-30,423318
2026-06-15,full,군체,2026-05-31,365463
2026-06-15,full,군체,2026-06-01,101982
2026-06-15,full,군체,2026-06-02,135393
2026-06-15,full,군체,2026-06-03,331477
2026-06-15,full,군체,2026-06-04,79917
2026-06-15,full,군체,2026-06-05,117729
2026-06-15,full,군체,2026-06-06,281926
2026-06-15,full,군체,2026-06-07,204211
2026-06-15,full,군체,2026-06-08,52036
2026-06-15,full,군체,2026-06-09,44401
2026-06-15,full,군체,2026-06-10,47227
2026-06-15,full,군체,2026-06-11,40619
2026-06-15,full,군체,2026-06-12,54066
2026-06-15,full,군체,2026-06-13,132016
2026-06-15,full,군체,2026-06-14,114967
2026-06-15,full,군체,2026-06-15,33836
2026-06-15,week,와일드 씽,2026-06-09,30279
2026-06-15,week,와일드 씽,2026-06-10,32253
2026-06-15,week,와일드 씽,2026-06-11,26678
2026-06-15,week,와일드 씽,2026-06-12,36326
2026-06-15,week,와일드 씽,2026-06-13,92189
2026-06-15,week,와일드 씽,2026-06-14,76586
2026-06-15,week,와일드 씽,2026-06-15,23668
2026-06-15,full,와일드 씽,2026-06-02,1190
2026-06-15,full,와일드 씽,2026-06-03,160752
2026-06-15,full,와일드 씽,2026-06-04,40463
2026-06-15,full,와일드 씽,2026-06-05,60415
2026-06-15,full,와일드 씽,2026-06-06,149038
2026-06-15,full,와일드 씽,2026-06-07,111734
2026-06-15,full,와일드 씽,2026-06-08,31704
2026-06-15,full,와일드 씽,2026-06-09,30281
2026-06-15,full,와일드 씽,2026-06-10,32253
2026-06-15,full,와일드 씽,2026-06-11,26678
2026-06-15,full,와일드 씽,2026-06-12,36326
2026-06-15,full,와일드 씽,2026-06-13,92191
2026-06-15,full,와일드 씽,2026-06-14,76586
2026-06-15,full,와일드 씽,2026-06-15,23668
2026-06-15,week,백룸,2026-06-09,16155
2026-06-15,week,백룸,2026-06-10,17742
2026-06-15,week,백룸,2026-06-11,15969
2026-06-15,week,백룸,2026-06-12,21808
2026-06-15,week,백룸,2026-06-13,48823
2026-06-15,week,백룸,2026-06-14,38107
2026-06-15,week,백룸,2026-06-15,11897
2026-06-15,full,백룸,2026-05-27,54104
2026-06-15,full,백룸,2026-05-28,33233
2026-06-15,full,백룸,2026-05-29,57805
2026-06-15,full,백룸,2026-05-30,132450
2026-06-15,full,백룸,2026-05-31,112956
2026-06-15,full,백룸,2026-06-01,28524
2026-06-15,full,백룸,2026-06-02,39065
