date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-05-20,1,20259626,마이클,48848,778427,522800410,2026-05-13
2026-05-20,2,20259791,악마는 프라다를 입는다 2,15939,1488192,169166720,2026-04-29
2026-05-20,3,20252402,군체,14236,18536,135839000,2026-05-21
2026-05-20,4,20262975,신극장판 은혼: 요시와라 대염상,11685,13473,131252280,2026-05-20
2026-05-20,5,20254121,살목지,9620,3196110,101787700,2026-04-08
2026-05-20,6,20261782,프로젝트 헤일메리,4949,2859810,52963600,2026-03-18
2026-05-20,7,20259773,슈퍼 마리오 갤럭시,3741,1480765,34344910,2026-04-29
2026-05-20,8,20263344,너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,3635,5154,41492300,2026-05-20
2026-05-20,9,20242837,왕과 사는 남자,3521,16872842,31056600,2026-02-04
2026-05-20,10,20194376,탑건: 매버릭,1915,8275966,22155540,2022-06-22
