date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-04-26,1,20254121,살목지,109081,1983761,1133124750,2026-04-08
2026-04-26,2,20261782,프로젝트 헤일메리,46553,2490900,541395840,2026-03-18
2026-04-26,3,20240532,짱구,42065,163898,421721840,2026-04-22
2026-04-26,4,20262685,란 12.3,28349,133648,289701060,2026-04-22
2026-04-26,5,20242837,왕과 사는 남자,25082,16706825,254339380,2026-02-04
2026-04-26,6,20247648,내 이름은,10615,161608,99366130,2026-04-15
2026-04-26,7,20262657,리 크로닌의 미이라,4731,28187,53875420,2026-04-22
2026-04-26,8,20262907,고트: 더 레전드,3908,30056,35797310,2026-04-17
2026-04-26,9,20070602,마녀배달부 키키,3877,115695,50343200,2007-11-22
2026-04-26,10,20262775,기동전사 건담: 섬광의 하사웨이 키르케의 마녀,3513,18415,51733000,2026-04-22
