date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-03-22,1,20242837,왕과 사는 남자,309385,14757108,3056878530,2026-02-04
2026-03-22,2,20261782,프로젝트 헤일메리,160739,561365,1823666390,2026-03-18
2026-03-22,3,20256283,호퍼스,39853,646427,382910880,2026-03-04
2026-03-22,4,20253101,극장판 진격의 거인 완결편 더 라스트 어택,9782,989421,120377700,2025-03-13
2026-03-22,5,20241575,메소드연기,8592,43722,86146000,2026-03-18
2026-03-22,6,20232662,삼악도,4434,82559,39485900,2026-03-11
2026-03-22,7,20261804,폭탄,3640,18614,28625600,2026-03-18
2026-03-22,8,19950084,쇼생크 탈출,2579,64553,34805500,1995-02-04
2026-03-22,9,20247457,신의악단,2112,1438797,18071170,2025-12-31
2026-03-22,10,20261437,녹나무의 파수꾼,1908,7599,18392200,2026-03-18
