date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-08-24,1,20250654,오디세이,186597,7295942,2129172490,2026-08-05
2026-08-24,2,20262770,스파이더맨: 브랜드 뉴 데이,46309,8173918,479876760,2026-07-29
2026-08-24,3,20264035,인시디어스: 그들이 넘어왔다,10806,104726,110469800,2026-08-20
2026-08-24,4,20264635,명탐정 코난: 하이웨이의 타천사,6673,362949,67190650,2026-08-12
2026-08-24,5,20255484,오케이 마담2,4991,310498,45033420,2026-08-12
2026-08-24,6,20262381,사랑의 하츄핑: 고래보석의 전설,3188,791424,28363710,2026-08-05
2026-08-24,7,20233219,호프,3026,4521419,29347470,2026-07-15
2026-08-24,8,20204641,비광,1795,1795,16155000,2026-09-02
2026-08-24,9,20100810,마루 밑 아리에티,1335,1087593,13429550,2010-09-09
2026-08-24,10,20264080,워페어,1287,15150,13154200,2026-08-19
