date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-06-03,1,20252402,군체,331383,4043652,3336522920,2026-05-21
2026-06-03,2,20248252,와일드 씽,160695,182016,1543905610,2026-06-03
2026-06-03,3,20263030,백룸,114081,572746,1189053400,2026-05-27
2026-06-03,4,20259626,마이클,37144,1467938,383968710,2026-05-13
2026-06-03,5,20263512,이상한 과자 가게 전천당,30336,95812,274369010,2026-05-29
2026-06-03,6,20258236,만달로리안과 그로구,17873,156477,229396320,2026-05-27
2026-06-03,7,20263761,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,11499,11571,264470000,2026-06-03
2026-06-03,8,20259773,슈퍼 마리오 갤럭시,11395,1618761,111851290,2026-04-29
2026-06-03,9,20263272,돌핀보이: 푸른 바다의 수호자,5362,5577,48491050,2026-06-03
2026-06-03,10,20262975,신극장판 은혼: 요시와라 대염상,3473,70385,35964570,2026-05-20
