date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-05-12,1,20259791,악마는 프라다를 입는다 2,23289,1269769,233015130,2026-04-29
2026-05-12,2,20254121,살목지,13398,3050737,135801390,2026-04-08
2026-05-12,3,20261782,프로젝트 헤일메리,7512,2797527,92794180,2026-03-18
2026-05-12,4,20259773,슈퍼 마리오 갤럭시,7351,1333259,72915300,2026-04-29
2026-05-12,5,20242837,왕과 사는 남자,4875,16841845,42324220,2026-02-04
2026-05-12,6,20240532,짱구,4170,385222,41101850,2026-04-22
2026-05-12,7,20262685,란 12.3,2566,234543,22971150,2026-04-22
2026-05-12,8,20262947,모탈 컴뱃 2,1216,14433,12890900,2026-05-06
2026-05-12,9,20247648,내 이름은,1069,206709,8668500,2026-04-15
2026-05-12,10,20261943,올 그린스,554,7695,4909500,2026-05-06
