date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-08-18,1,20250654,오디세이,228297,5391701,2568712200,2026-08-05
2026-08-18,2,20262770,스파이더맨: 브랜드 뉴 데이,78107,7619232,800016960,2026-07-29
2026-08-18,3,20264635,명탐정 코난: 하이웨이의 타천사,14573,278951,144847310,2026-08-12
2026-08-18,4,20255484,오케이 마담2,11460,250840,104360970,2026-08-12
2026-08-18,5,20262381,사랑의 하츄핑: 고래보석의 전설,8489,706563,74898180,2026-08-05
2026-08-18,6,20233219,호프,5313,4492124,52805770,2026-07-15
2026-08-18,7,20262945,퍼피 구조대: 더 다이노 무비,2352,72194,19949300,2026-08-13
2026-08-18,8,20264148,어떻게 해야 했을까?,2149,75063,20799350,2026-07-29
2026-08-18,9,20264879,청년 조용기,1032,5743,10126000,2026-09-11
2026-08-18,10,20261784,미니언즈 & 몬스터즈,645,773600,4722000,2026-07-15
