date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-08-03,1,20262770,스파이더맨: 브랜드 뉴 데이,401785,3785904,4174510150,2026-07-29
2026-08-03,2,20233219,호프,63927,4174472,618271300,2026-07-15
2026-08-03,3,20261784,미니언즈 & 몬스터즈,12454,726394,113041800,2026-07-15
2026-08-03,4,20259781,토이 스토리 5,7454,2919664,71227390,2026-06-17
2026-08-03,5,20259946,모아나,6986,1006933,65168340,2026-07-08
2026-08-03,6,20264148,어떻게 해야 했을까?,3147,27155,31604660,2026-07-29
2026-08-03,7,20262902,다윗,3085,266434,29609230,2026-07-10
2026-08-03,8,20242402,눈동자,1489,1538866,15303850,2026-06-24
2026-08-03,9,20264665,드림 애니멀즈: 더무비,845,42841,7537100,2026-07-24
2026-08-03,10,20250654,오디세이,678,1302,6102000,2026-08-05
