date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-09-19,1,20256308,인턴,115200,305062,1153368530,2026-09-16
2026-09-19,2,20250654,오디세이,108831,11124870,1358044950,2026-08-05
2026-09-19,3,20265146,옵세션,55081,656776,600112770,2026-09-02
2026-09-19,4,20263870,레지던트 이블: 0번째 밤,33155,77412,355288050,2026-09-17
2026-09-19,5,20262770,스파이더맨: 브랜드 뉴 데이,14834,8977906,133781830,2026-07-29
2026-09-19,6,20261807,극장판 치이카와: 인어 섬의 비밀,10640,11109,141742550,2026-09-30
2026-09-19,7,20265587,디지몬 어드벤처 : 운명적 만남 & 우리들의 워 게임!,5207,13520,56021900,2026-09-16
2026-09-19,8,20070216,시간을 달리는 소녀,4800,128163,52905300,2007-06-14
2026-09-19,9,20264801,포가튼 아일랜드,4005,15777,40050000,2026-09-23
2026-09-19,10,20256161,타짜: 벨제붑의 노래,3950,16134,47036350,2026-09-23
