date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-04-20,1,20254121,살목지,46984,1508814,473283220,2026-04-08
2026-04-20,2,20261782,프로젝트 헤일메리,16038,2314142,179914270,2026-03-18
2026-04-20,3,20242837,왕과 사는 남자,14322,16603859,133738030,2026-02-04
2026-04-20,4,20247648,내 이름은,8714,108855,74533540,2026-04-15
2026-04-20,5,20070602,마녀배달부 키키,1521,99014,16513650,2007-11-22
2026-04-20,6,20262639,노멀,965,8517,6923650,2026-04-17
2026-04-20,7,20262907,고트: 더 레전드,854,19888,7016900,2026-04-17
2026-04-20,8,20262383,쉘터,851,16182,7082200,2026-04-15
2026-04-20,9,20259339,힌드의 목소리,696,11161,5728410,2026-04-15
2026-04-20,10,19980231,트루먼 쇼,540,29792,5747700,1998-10-24
