date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-07-05,1,20259781,토이 스토리 5,172406,2218496,1739785750,2026-06-17
2026-07-05,2,20242402,눈동자,127138,842702,1307432260,2026-06-24
2026-07-05,3,20252402,군체,24538,5842307,252991750,2026-05-21
2026-07-05,4,20263530,마티 슈프림,12848,70264,142326980,2026-07-01
2026-07-05,5,20248252,와일드 씽,12251,1303617,119193390,2026-06-03
2026-07-05,6,20264027,극장판 도라에몽: 신 진구의 해저비밀성,11359,40059,108137600,2026-07-01
2026-07-05,7,20264056,그린랜드 2: 마이그레이션,7092,35573,70569240,2026-07-01
2026-07-05,8,20263030,백룸,6387,1192089,68131960,2026-05-27
2026-07-05,9,20262902,다윗,4968,16159,41267600,2026-07-10
2026-07-05,10,20264427,극장판 암살교실 모두의 시간,3453,17220,36534950,2026-07-01
