date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-04-19,1,20254121,살목지,161644,1461832,1664688640,2026-04-08
2026-04-19,2,20261782,프로젝트 헤일메리,60871,2298104,683373850,2026-03-18
2026-04-19,3,20242837,왕과 사는 남자,37222,16589538,373704980,2026-02-04
2026-04-19,4,20247648,내 이름은,20963,100141,194944920,2026-04-15
2026-04-19,5,20262907,고트: 더 레전드,8682,19034,78643730,2026-04-17
2026-04-19,6,20070602,마녀배달부 키키,5666,97493,72982610,2007-11-22
2026-04-19,7,20262383,쉘터,3286,15331,22517350,2026-04-15
2026-04-19,8,20249507,극장판 하이큐!! 쓰레기장의 결전,2313,754739,29425800,2024-05-15
2026-04-19,9,20262639,노멀,2183,7552,15617250,2026-04-17
2026-04-19,10,20253289,극장판 귀멸의 칼날: 무한성편,2147,5809651,24984200,2025-08-22
