date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-06-30,1,20259781,토이 스토리 5,42011,1700042,422608670,2026-06-17
2026-06-30,2,20242402,눈동자,39317,383039,396451100,2026-06-24
2026-06-30,3,20252402,군체,15821,5744238,152933800,2026-05-21
2026-06-30,4,20248252,와일드 씽,10151,1253611,93477950,2026-06-03
2026-06-30,5,20250489,슈퍼걸,6075,124204,57685420,2026-06-24
2026-06-30,6,20263030,백룸,5129,1164310,54460000,2026-05-27
2026-06-30,7,20261524,짝사랑 세계,1422,14192,10015880,2026-06-24
2026-06-30,8,20258945,너만 보이는 날,1363,15968,10961300,2026-06-24
2026-06-30,9,20149629,비긴 어게인,1116,3742629,12156000,2014-08-13
2026-06-30,10,20264241,정동원 팬콘서트 필름 : 다시 만나는 길,994,10316,24850000,2026-06-26
