date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-03-05,1,20242837,왕과 사는 남자,180548,9778000,1676278780,2026-02-04
2026-03-05,2,20256283,호퍼스,11795,81361,116444100,2026-03-04
2026-03-05,3,20241266,휴민트,7105,1888379,69377800,2026-02-11
2026-03-05,4,20241501,매드 댄스 오피스,3839,12189,32071700,2026-03-04
2026-03-05,5,20258444,브라이드!,3357,11103,32473430,2026-03-04
2026-03-05,6,20261181,너자 2,2388,48522,13534300,2026-02-25
2026-03-05,7,20247457,신의악단,1938,1408726,16543000,2025-12-31
2026-03-05,8,20250875,우리는 매일매일,1887,5017,15499450,2026-03-04
2026-03-05,9,20250365,햄넷,1758,36406,16510400,2026-02-25
2026-03-05,10,20250413,다이 마이 러브,1519,3683,11753000,2026-03-04
