date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-04-04,1,20261782,프로젝트 헤일메리,153755,1518302,1688624480,2026-03-18
2026-04-04,2,20242837,왕과 사는 남자,123797,15997291,1240513800,2026-02-04
2026-04-04,3,20261666,네가 마지막으로 남긴 노래,16760,42251,186123850,2026-04-01
2026-04-04,4,20192680,끝장수사,16589,42969,158459050,2026-04-02
2026-04-04,5,20253289,극장판 귀멸의 칼날: 무한성편,14918,5771452,207259200,2025-08-22
2026-04-04,6,20256283,호퍼스,11402,728981,113403520,2026-03-04
2026-04-04,7,20254121,살목지,8058,19156,97336800,2026-04-08
2026-04-04,8,20261906,명탐정 코난: 세기말의 마술사,6349,75133,63245450,2026-03-27
2026-04-04,9,20262179,펫 트레인,3565,15819,26819850,2026-03-28
2026-04-04,10,20262101,킬 빌: 더 홀 블러디 어페어,3479,9279,72035500,2026-04-01
