date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-08-09,1,20250654,오디세이,497556,1874827,5421157260,2026-08-05
2026-08-09,2,20262770,스파이더맨: 브랜드 뉴 데이,463917,5916403,4782490470,2026-07-29
2026-08-09,3,20262381,사랑의 하츄핑: 고래보석의 전설,123565,433807,1172014190,2026-08-05
2026-08-09,4,20233219,호프,32223,4393881,336401020,2026-07-15
2026-08-09,5,20262902,다윗,8342,289350,78274050,2026-07-10
2026-08-09,6,20261784,미니언즈 & 몬스터즈,5014,763307,45058680,2026-07-15
2026-08-09,7,20264635,명탐정 코난: 하이웨이의 타천사,4473,8828,57231270,2026-08-12
2026-08-09,8,20264148,어떻게 해야 했을까?,3978,49728,40423200,2026-07-29
2026-08-09,9,20255484,오케이 마담2,2382,11783,25903900,2026-08-12
2026-08-09,10,20259781,토이 스토리 5,1907,2939376,18777850,2026-06-17
