date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-08-01,1,20262770,스파이더맨: 브랜드 뉴 데이,900898,2558184,9688750110,2026-07-29
2026-08-01,2,20233219,호프,136417,3992688,1403310900,2026-07-15
2026-08-01,3,20261784,미니언즈 & 몬스터즈,22173,690910,211440510,2026-07-15
2026-08-01,4,20259946,모아나,12729,987186,124133850,2026-07-08
2026-08-01,5,20262381,사랑의 하츄핑: 고래보석의 전설,10681,16189,127985600,2026-08-05
2026-08-01,6,20259781,토이 스토리 5,9940,2900656,100129740,2026-06-17
2026-08-01,7,20262902,다윗,8795,253432,85172890,2026-07-10
2026-08-01,8,20264148,어떻게 해야 했을까?,6224,18574,64192100,2026-07-29
2026-08-01,9,20242402,눈동자,2646,1535037,28515200,2026-06-24
2026-08-01,10,20264665,드림 애니멀즈: 더무비,1365,40585,12517310,2026-07-24
