date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-05-10,1,20259773,슈퍼 마리오 갤럭시,82482,1318717,799922360,2026-04-29
2026-05-10,2,20259791,악마는 프라다를 입는다 2,68337,1221628,709778320,2026-04-29
2026-05-10,3,20254121,살목지,56204,3022778,581454750,2026-04-08
2026-05-10,4,20261782,프로젝트 헤일메리,20769,2782966,257972810,2026-03-18
2026-05-10,5,20240532,짱구,12231,376605,125904100,2026-04-22
2026-05-10,6,20242837,왕과 사는 남자,8286,16833524,83398400,2026-02-04
2026-05-10,7,20262685,란 12.3,4210,230387,41936150,2026-04-22
2026-05-10,8,20262947,모탈 컴뱃 2,2340,12049,27477950,2026-05-06
2026-05-10,9,20247648,내 이름은,1540,204744,13356750,2026-04-15
2026-05-10,10,20262775,기동전사 건담: 섬광의 하사웨이 키르케의 마녀,819,41278,8243550,2026-04-22
