date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-04-11,1,20254121,살목지,226998,526351,2379446070,2026-04-08
2026-04-11,2,20261782,프로젝트 헤일메리,121177,1944273,1341519330,2026-03-18
2026-04-11,3,20242837,왕과 사는 남자,70656,16331376,713775900,2026-02-04
2026-04-11,4,20262648,런닝맨: 라이트&쉐도우,6701,7204,55888450,2026-04-11
2026-04-11,5,20256283,호퍼스,5725,748224,57027450,2026-03-04
2026-04-11,6,20253289,극장판 귀멸의 칼날: 무한성편,5467,5796983,71631500,2025-08-22
2026-04-11,7,20261622,위 리브 인 타임,4089,17457,35201900,2026-04-08
2026-04-11,8,20261666,네가 마지막으로 남긴 노래,3544,72858,36237950,2026-04-01
2026-04-11,9,20262343,크라임 101,3351,11946,24338670,2026-04-08
2026-04-11,10,20192680,끝장수사,2655,80842,25826650,2026-04-02
