date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-07-20,1,20233219,호프,143062,2272724,1522239140,2026-07-15
2026-07-20,2,20261784,미니언즈 & 몬스터즈,16807,391583,171812230,2026-07-15
2026-07-20,3,20259946,모아나,11094,783185,115022350,2026-07-08
2026-07-20,4,20242402,눈동자,10217,1441433,108068050,2026-06-24
2026-07-20,5,20259781,토이 스토리 5,7510,2757682,77806850,2026-06-17
2026-07-20,6,20262902,다윗,3242,163012,31584200,2026-07-10
2026-07-20,7,20252402,군체,1125,5942252,11895350,2026-05-21
2026-07-20,8,20263530,마티 슈프림,881,117964,9671350,2026-07-01
2026-07-20,9,20264665,드림 애니멀즈: 더무비,654,8355,5886000,2026-07-24
2026-07-20,10,20259551,파리의 사생활,352,3736,3178250,2026-07-15
