date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-08-26,1,20250654,오디세이,195895,7656203,2125582260,2026-08-05
2026-08-26,2,20262770,스파이더맨: 브랜드 뉴 데이,47642,8263208,451863130,2026-07-29
2026-08-26,3,20247458,경주기행,36795,42281,330894580,2026-08-26
2026-08-26,4,20264557,오크 스트리트의 마지막 날,27023,28873,254531900,2026-08-26
2026-08-26,5,20264635,명탐정 코난: 하이웨이의 타천사,8667,377776,82510400,2026-08-12
2026-08-26,6,20264035,인시디어스: 그들이 넘어왔다,6031,121655,57135600,2026-08-20
2026-08-26,7,20255484,오케이 마담2,3457,319730,28524800,2026-08-12
2026-08-26,8,20264715,드라큘라: 러브 테일,3042,3569,21903100,2026-08-26
2026-08-26,9,20263307,도그 스타: 마지막 희망,2518,2807,24248250,2026-08-26
2026-08-26,10,20253289,극장판 귀멸의 칼날: 무한성편,2336,5816952,26021900,2025-08-22
