date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-05-16,1,20259626,마이클,204425,468887,2384991140,2026-05-13
2026-05-16,2,20259773,슈퍼 마리오 갤럭시,55262,1410460,559009840,2026-04-29
2026-05-16,3,20259791,악마는 프라다를 입는다 2,49885,1404144,562389290,2026-04-29
2026-05-16,4,20254121,살목지,38827,3137601,432145080,2026-04-08
2026-05-16,5,20261782,프로젝트 헤일메리,15867,2834024,180963400,2026-03-18
2026-05-16,6,20194376,탑건: 매버릭,7199,8264510,90978610,2022-06-22
2026-05-16,7,20252801,교생실습,5250,17913,47693350,2026-05-13
2026-05-16,8,20240532,짱구,4684,399182,49866370,2026-04-22
2026-05-16,9,20242837,왕과 사는 남자,4661,16859025,49120000,2026-02-04
2026-05-16,10,20040695,이프 온리,4475,1050770,51651810,2004-10-29
