date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-04-02,1,20242837,왕과 사는 남자,39303,15821423,367575210,2026-02-04
2026-04-02,2,20261782,프로젝트 헤일메리,31886,1306469,351881680,2026-03-18
2026-04-02,3,20192680,끝장수사,13957,14617,123343600,2026-04-02
2026-04-02,4,20261666,네가 마지막으로 남긴 노래,5257,18224,49742770,2026-04-01
2026-04-02,5,20253289,극장판 귀멸의 칼날: 무한성편,4370,5750631,58475500,2025-08-22
2026-04-02,6,20261906,명탐정 코난: 세기말의 마술사,3493,65567,34297200,2026-03-27
2026-04-02,7,20262463,오피셜히게단디즘 라이브 앳 스타디움 2025,3178,3178,79407500,2026-04-02
2026-04-02,8,20256283,호퍼스,1266,715940,12088700,2026-03-04
2026-04-02,9,20247648,내 이름은,1209,1498,10881000,2026-04-15
2026-04-02,10,20262101,킬 빌: 더 홀 블러디 어페어,1047,4780,20604300,2026-04-01
