date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-05-25,1,20252402,군체,516992,2018596,5663629060,2026-05-21
2026-05-25,2,20259626,마이클,109376,1184595,1187263280,2026-05-13
2026-05-25,3,20259773,슈퍼 마리오 갤럭시,38095,1576909,386686540,2026-04-29
2026-05-25,4,20259791,악마는 프라다를 입는다 2,16318,1558579,181207340,2026-04-29
2026-05-25,5,20254121,살목지,8147,3230646,90076350,2026-04-08
2026-05-25,6,20262975,신극장판 은혼: 요시와라 대염상,7308,50057,81767710,2026-05-20
2026-05-25,7,20261782,프로젝트 헤일메리,6880,2883508,76218220,2026-03-18
2026-05-25,8,20263222,극장판 호빵맨: 세균맨과 그림책의 루룬,6682,19146,60941600,2026-05-23
2026-05-25,9,20263344,너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,5652,26204,67013600,2026-05-20
2026-05-25,10,20242837,왕과 사는 남자,2802,16883800,27949860,2026-02-04
