date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-09-06,1,20250654,오디세이,259737,10027981,2927309360,2026-08-05
2026-09-06,2,20262770,스파이더맨: 브랜드 뉴 데이,54890,8792029,469648660,2026-07-29
2026-09-06,3,20265146,옵세션,51463,185100,562708380,2026-09-02
2026-09-06,4,20247458,경주기행,17834,297594,176581920,2026-08-26
2026-09-06,5,20204641,비광,14419,71392,136771350,2026-09-02
2026-09-06,6,20264918,싱 어게인,12004,55931,118838820,2026-09-02
2026-09-06,7,20262381,사랑의 하츄핑: 고래보석의 전설,8034,858709,78051770,2026-08-05
2026-09-06,8,20264635,명탐정 코난: 하이웨이의 타천사,2942,420629,29698450,2026-08-12
2026-09-06,9,20264557,오크 스트리트의 마지막 날,2433,130502,22975120,2026-08-26
2026-09-06,10,20127108,모모와 다락방의 수상한 요괴들,2274,310413,20008950,2012-07-05
