date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-08-02,1,20262770,스파이더맨: 브랜드 뉴 데이,825953,3384133,8775652750,2026-07-29
2026-08-02,2,20233219,호프,117897,4110550,1200387570,2026-07-15
2026-08-02,3,20261784,미니언즈 & 몬스터즈,23030,713940,218413190,2026-07-15
2026-08-02,4,20259946,모아나,12763,999949,124099400,2026-07-08
2026-08-02,5,20259781,토이 스토리 5,11554,2912210,115375580,2026-06-17
2026-08-02,6,20262381,사랑의 하츄핑: 고래보석의 전설,10305,26494,125351720,2026-08-05
2026-08-02,7,20262902,다윗,9917,263349,94622950,2026-07-10
2026-08-02,8,20264148,어떻게 해야 했을까?,5434,24008,56577800,2026-07-29
2026-08-02,9,20242402,눈동자,2341,1537377,25051300,2026-06-24
2026-08-02,10,20264665,드림 애니멀즈: 더무비,1411,41996,12786500,2026-07-24
