date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-09-17,1,20256308,인턴,46155,128721,432605530,2026-09-16
2026-09-17,2,20250654,오디세이,39365,10960848,505374590,2026-08-05
2026-09-17,3,20263870,레지던트 이블: 0번째 밤,21924,22875,212811510,2026-09-17
2026-09-17,4,20265146,옵세션,21591,570246,230463050,2026-09-02
2026-09-17,5,20255033,암살자(들),13477,14134,122817000,2026-09-23
2026-09-17,6,20262770,스파이더맨: 브랜드 뉴 데이,4207,8956964,35965020,2026-07-29
2026-09-17,7,20070216,시간을 달리는 소녀,3022,120503,32860700,2007-06-14
2026-09-17,8,20265423,더 드라마,3000,70567,27863550,2026-09-09
2026-09-17,9,20265587,디지몬 어드벤처 : 운명적 만남 & 우리들의 워 게임!,2022,6308,21562560,2026-09-16
2026-09-17,10,20241110,아이유 콘서트 : 더 위닝,1439,80073,25902000,2025-01-24
