date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-08-31,1,20250654,오디세이,145915,9010818,1672402700,2026-08-05
2026-08-31,2,20262770,스파이더맨: 브랜드 뉴 데이,28658,8577049,293026060,2026-07-29
2026-08-31,3,20247458,경주기행,18101,210485,172357110,2026-08-26
2026-08-31,4,20264557,오크 스트리트의 마지막 날,6760,114198,67206100,2026-08-26
2026-08-31,5,20264035,인시디어스: 그들이 넘어왔다,3205,151538,33265250,2026-08-20
2026-08-31,6,20264635,명탐정 코난: 하이웨이의 타천사,3078,406168,31009050,2026-08-12
2026-08-31,7,20255484,오케이 마담2,1963,336870,18031100,2026-08-12
2026-08-31,8,20263307,도그 스타: 마지막 희망,1523,13241,14865450,2026-08-26
2026-08-31,9,20233219,호프,1130,4536210,11130450,2026-07-15
2026-08-31,10,20262381,사랑의 하츄핑: 고래보석의 전설,1066,839771,9667850,2026-08-05
