date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-05-15,1,20259626,마이클,86921,264462,1011688630,2026-05-13
2026-05-15,2,20259791,악마는 프라다를 입는다 2,30518,1354262,335660670,2026-04-29
2026-05-15,3,20254121,살목지,20012,3098776,221905930,2026-04-08
2026-05-15,4,20259773,슈퍼 마리오 갤럭시,9229,1355198,90325930,2026-04-29
2026-05-15,5,20261782,프로젝트 헤일메리,8388,2818157,92859590,2026-03-18
2026-05-15,6,20242837,왕과 사는 남자,4155,16854364,39141120,2026-02-04
2026-05-15,7,20252801,교생실습,3378,12663,27754250,2026-05-13
2026-05-15,8,20040695,이프 온리,3187,1046295,37642710,2004-10-29
2026-05-15,9,20240532,짱구,3080,394498,31154620,2026-04-22
2026-05-15,10,20194376,탑건: 매버릭,3061,8257311,39314500,2022-06-22
