date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-09-23,1,20255033,암살자(들),134462,158588,1275576980,2026-09-23
2026-09-23,2,20256161,타짜: 벨제붑의 노래,103366,122549,1005683190,2026-09-23
2026-09-23,3,20250654,오디세이,41208,11327978,558213000,2026-08-05
2026-09-23,4,20256308,인턴,23373,494589,220748930,2026-09-16
2026-09-23,5,20266766,어벤져스: 엔드게임 앙코르,21502,21502,258635340,2026-09-23
2026-09-23,6,20254904,가능한 사랑,19032,22160,195227420,2026-09-23
2026-09-23,7,20265146,옵세션,18367,759831,193349300,2026-09-02
2026-09-23,8,20263870,레지던트 이블: 0번째 밤,10826,136626,112392000,2026-09-17
2026-09-23,9,20262770,스파이더맨: 브랜드 뉴 데이,4236,9002750,39174620,2026-07-29
2026-09-23,10,20264801,포가튼 아일랜드,2270,18047,19398650,2026-09-23
