date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-05-31,1,20252402,군체,365469,3474910,3743415250,2026-05-21
2026-05-31,2,20263030,백룸,112969,391118,1207335430,2026-05-27
2026-05-31,3,20259626,마이클,55194,1394934,595519380,2026-05-13
2026-05-31,4,20258236,만달로리안과 그로구,28240,116719,346060670,2026-05-27
2026-05-31,5,20263512,이상한 과자 가게 전천당,27551,60421,255206580,2026-05-29
2026-05-31,6,20259773,슈퍼 마리오 갤럭시,12984,1606328,127807430,2026-04-29
2026-05-31,7,20263222,극장판 호빵맨: 세균맨과 그림책의 루룬,4876,30336,35612550,2026-05-23
2026-05-31,8,20263344,너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,3730,45673,41761450,2026-05-20
2026-05-31,9,20248252,와일드 씽,3724,19981,34592150,2026-06-03
2026-05-31,10,20259791,악마는 프라다를 입는다 2,3502,1585403,37310900,2026-04-29
