date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-05-29,1,20252402,군체,182233,2686136,1976692280,2026-05-21
2026-05-29,2,20263030,백룸,57809,145674,657458110,2026-05-27
2026-05-29,3,20259626,마이클,23414,1281666,261377230,2026-05-13
2026-05-29,4,20258236,만달로리안과 그로구,15000,54671,191356780,2026-05-27
2026-05-29,5,20263512,이상한 과자 가게 전천당,6698,8645,58037950,2026-05-29
2026-05-29,6,20248252,와일드 씽,6217,11294,61953000,2026-06-03
2026-05-29,7,20259791,악마는 프라다를 입는다 2,4255,1577678,47553490,2026-04-29
2026-05-29,8,20263344,너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,2538,37742,31051750,2026-05-20
2026-05-29,9,20258837,뒷자리에 태워줘,1715,7023,18367900,2026-05-27
2026-05-29,10,20262975,신극장판 은혼: 요시와라 대염상,1626,58127,18944200,2026-05-20
