date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-06-09,1,20252402,군체,44401,4823942,446741550,2026-05-21
2026-06-09,2,20248252,와일드 씽,30281,605697,282280420,2026-06-03
2026-06-09,3,20263030,백룸,16155,833623,168866540,2026-05-27
2026-06-09,4,20259626,마이클,6737,1553104,67274370,2026-05-13
2026-06-09,5,20258236,만달로리안과 그로구,2372,196162,23745470,2026-05-27
2026-06-09,6,20263941,마스터즈 오브 유니버스,1341,12968,11334050,2026-06-05
2026-06-09,7,20040734,노트북,1319,841920,14705000,2004-11-26
2026-06-09,8,20263262,맘보 점보,1166,6123,8259500,2026-06-03
2026-06-09,9,20263512,이상한 과자 가게 전천당,1107,138737,8904650,2026-05-29
2026-06-09,10,20263344,너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,865,62570,8527400,2026-05-20
