date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-06-24,1,20259781,토이 스토리 5,75207,1066795,714110090,2026-06-17
2026-06-24,2,20242402,눈동자,34940,38413,320088870,2026-06-24
2026-06-24,3,20250489,슈퍼걸,34938,35754,350524560,2026-06-24
2026-06-24,4,20252402,군체,24627,5600658,234278960,2026-05-21
2026-06-24,5,20248252,와일드 씽,19418,1154006,176013150,2026-06-03
2026-06-24,6,20263030,백룸,8608,1117091,86090650,2026-05-27
2026-06-24,7,20261524,짝사랑 세계,3562,3994,25118980,2026-06-24
2026-06-24,8,20258945,너만 보이는 날,3337,6704,29351800,2026-06-24
2026-06-24,9,20246318,해피엔드,1514,136582,13473950,2025-04-30
2026-06-24,10,20250655,디스클로저 데이,1506,250840,14702400,2026-06-10
