date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-04-10,1,20254121,살목지,111768,299353,1181184280,2026-04-08
2026-04-10,2,20261782,프로젝트 헤일메리,56305,1823096,641539830,2026-03-18
2026-04-10,3,20242837,왕과 사는 남자,38715,16260720,381549970,2026-02-04
2026-04-10,4,20261622,위 리브 인 타임,3657,13368,30071500,2026-04-08
2026-04-10,5,20192680,끝장수사,2770,78413,25923600,2026-04-02
2026-04-10,6,20261666,네가 마지막으로 남긴 노래,2499,69314,23589460,2026-04-01
2026-04-10,7,20262343,크라임 101,2409,8595,17704430,2026-04-08
2026-04-10,8,20253289,극장판 귀멸의 칼날: 무한성편,2042,5791519,27749000,2025-08-22
2026-04-10,9,20261906,명탐정 코난: 세기말의 마술사,1474,87053,14605350,2026-03-27
2026-04-10,10,20241941,좀비딸,1178,5641601,10602000,2025-07-30
