week,segment,rank,channel,title,rating
2026-23,지상파,1,KBS2,사랑을 처방해 드립니다,14.1
2026-23,지상파,2,SBS,멋진 신세계,9.9
2026-23,지상파,4,KBS2,붉은 진주,7.2
2026-23,지상파,5,MBC,첫 번째 남자,5.4
2026-23,지상파,6,MBC,오십프로,5.3
2026-23,지상파,7,SBS,오늘도 매진했습니다,2.6
2026-23,지상파,14,SBS,멋진 신세계 정주행,0.8
2026-23,지상파,15,SBS,멋진 신세계 모아보기,0.7
2026-23,지상파,16,KBS2,붉은 진주 (스페셜) KBS2,0.5
2026-23,종합편성,1,JTBC,신입사원 강회장,4.4
2026-23,종합편성,4,MBN,모두가 자신의 무가치함과 싸우고 있다 (스페셜) JTBC,0.1
2026-23,케이블,1,tvN,은밀한 감사,8.7
2026-23,케이블,2,ENA,허수아비,7.7
2026-23,케이블,3,tvN,취사병 전설이 되다,7.6
