week,segment,rank,channel,title,rating
2026-18,지상파,1,KBS2,사랑을 처방해 드립니다,13.8
2026-18,지상파,2,MBC,21세기 대군부인,10.9
2026-18,지상파,3,KBS2,붉은 진주,7.4
2026-18,지상파,4,SBS,신이랑 법률사무소,6.3
2026-18,지상파,5,KBS1,기쁜 우리 좋은 날,6.1
2026-18,지상파,6,MBC,첫 번째 남자,5.3
2026-18,지상파,7,SBS,오늘도 매진했습니다,3.3
2026-18,지상파,16,KBS1,장애인의 날 특집 드라마 알라르간도,0.5
2026-18,종합편성,1,JTBC,모두가 자신의 무가치함과 싸우고 있다,2.3
2026-18,종합편성,2,TV조선,닥터신,1.7
2026-18,종합편성,7,TV조선,모두가 자신의 무가치함과 싸우고 있다 (스페셜) JTBC,0.2
2026-18,케이블,1,tvN,은밀한 감사,5.3
2026-18,케이블,2,ENA,허수아비,3.5
2026-18,케이블,3,tvN,유미의 세포들 시즌3,2.1
