week,segment,rank,channel,title,rating
2026-17,지상파,1,KBS2,사랑을 처방해 드립니다,14.2
2026-17,지상파,2,MBC,21세기 대군부인,10.1
2026-17,지상파,3,KBS2,붉은 진주,7.2
2026-17,지상파,4,SBS,신이랑 법률사무소,6.3
2026-17,지상파,5,KBS1,기쁜 우리 좋은 날,5.9
2026-17,지상파,6,MBC,첫 번째 남자,5.4
2026-17,지상파,7,SBS,붉은 진주 (스페셜) KBS2,2.2
2026-17,지상파,9,KBS2,심우면 연리리,2.0
2026-17,지상파,12,MBC,21세기 대군부인 제작기,0.8
2026-17,종합편성,1,JTBC,모두가 자신의 무가치함과 싸우고 있다,2.2
2026-17,종합편성,2,TV조선,닥터신,1.3
2026-17,종합편성,7,TV조선,닥터신 특별판,0.3
2026-17,케이블,1,ENA,클라이맥스,3.6
2026-17,케이블,2,tvN,대한민국에서 건물주 되는 법,3.1
2026-17,케이블,3,tvN,유미의 세포들 시즌3,2.0
2026-17,케이블,8,KBS Drama,리버스,0.4
