week,segment,rank,channel,title,rating
2026-32,지상파,1,KBS2,사랑이 온다,12.5
2026-32,지상파,2,KBS1,기쁜 우리 좋은 날,10.9
2026-32,지상파,3,KBS2,붉은 진주,7.9
2026-32,지상파,4,MBC,유부녀 킬러,7.7
2026-32,지상파,5,KBS2,결혼의 완성,7.3
2026-32,지상파,6,MBC,김부장 더 유니버스 1부 (스페셜) SBS,4.4
2026-32,지상파,8,SBS,김부장 더 유니버스 2부 (스페셜) SBS,2.5
2026-32,지상파,11,MBC,유부녀 킬러 하이라이트 (스페셜) MBC,1.3
2026-32,지상파,13,KBS2,재벌X형사 2 미리보기 (스페셜) SBS,1.2
2026-32,지상파,18,KBS2,붉은 진주 (스페셜) KBS2,0.7
2026-32,종합편성,1,JTBC,아파트,4.9
2026-32,종합편성,2,JTBC,한반도 - 격동의 남과 북 (스페셜) TV조선,0.6
2026-32,케이블,1,tvN,오싹한 연애,5.8
2026-32,케이블,2,tvN,내일도 출근!,4.6
2026-32,케이블,3,ENA,그대에게 드림,2.2
2026-32,케이블,4,tvN,파친코 시즌2,1.4
2026-32,케이블,5,tvN,오싹한 연애 스페셜 요약 (스페셜) tvN,0.9
