week,segment,rank,channel,title,rating
2026-15,지상파,1,KBS2,사랑을 처방해 드립니다,13.2
2026-15,지상파,2,SBS,신이랑 법률사무소,8.5
2026-15,지상파,3,KBS2,붉은 진주,7.6
2026-15,지상파,4,KBS1,기쁜 우리 좋은 날,6.9
2026-15,지상파,5,MBC,첫 번째 남자,5.5
2026-15,지상파,6,MBC,찬란한 너의 계절에,3.1
2026-15,지상파,9,MBC,21세기 대군부인 프리미어,0.8
2026-15,종합편성,1,JTBC,미혼남녀의 효율적 만남,4.5
2026-15,종합편성,2,TV조선,닥터신,1.2
2026-15,종합편성,3,JTBC,샤이닝,0.8
2026-15,종합편성,6,TV조선,닥터신 (베스트) TV조선,0.4
2026-15,종합편성,8,TV조선,닥터신 특별판,0.2
2026-15,종합편성,9,JTBC,미혼남녀의 효율적 만남 (스페셜) JTBC,0.1
2026-15,종합편성,11,MBN,밀크맨,0.1
2026-15,케이블,1,tvN,세이렌,4.6
2026-15,케이블,2,ENA,클라이맥스,3.4
2026-15,케이블,3,tvN,대한민국에서 건물주 되는 법,2.9
