week,segment,rank,channel,title,rating
2026-16,지상파,1,KBS2,사랑을 처방해 드립니다,13.6
2026-16,지상파,2,MBC,21세기 대군부인,8.6
2026-16,지상파,3,KBS2,붉은 진주,7.4
2026-16,지상파,4,KBS1,기쁜 우리 좋은 날,6.9
2026-16,지상파,5,SBS,신이랑 법률사무소,6.7
2026-16,지상파,6,MBC,첫 번째 남자,5.4
2026-16,지상파,14,MBC,21세기 대군부인 프리미어,0.6
2026-16,종합편성,1,TV조선,닥터신,1.2
2026-16,종합편성,2,TV조선,닥터신 (베스트) TV조선,0.4
2026-16,종합편성,6,TV조선,닥터신 특별판,0.2
2026-16,케이블,1,tvN,세이렌,4.4
2026-16,케이블,2,ENA,클라이맥스,3.0
2026-16,케이블,3,tvN,대한민국에서 건물주 되는 법,2.6
2026-16,케이블,6,tvN,유미의 세포들 시즌2 복습하기,0.6
2026-16,케이블,7,tvN,유미의 세포들 시즌1 복습하기,0.6
