week,segment,rank,channel,title,rating
2026-14,지상파,1,KBS2,사랑을 처방해 드립니다,13.8
2026-14,지상파,2,KBS1,마리와 별난 아빠들,11.0
2026-14,지상파,3,SBS,신이랑 법률사무소,9.4
2026-14,지상파,4,KBS2,붉은 진주,7.6
2026-14,지상파,5,MBC,첫 번째 남자,5.3
2026-14,지상파,6,KBS2,심우면 연리리,2.7
2026-14,지상파,9,SBS,신이랑 법률사무소 모아보기,1.5
2026-14,지상파,12,MBC,21세기 대군부인 프리미어,0.9
2026-14,종합편성,1,JTBC,미혼남녀의 효율적 만남,4.2
2026-14,종합편성,2,TV조선,닥터신,1.0
2026-14,종합편성,3,JTBC,샤이닝,0.9
2026-14,종합편성,8,TV조선,닥터신 특별판,0.3
2026-14,종합편성,9,JTBC,미혼남녀의 효율적 만남 (스페셜) JTBC,0.1
2026-14,종합편성,11,MBN,샤이닝 (스페셜) JTBC,0.0
2026-14,케이블,1,tvN,세이렌,4.0
2026-14,케이블,2,ENA,클라이맥스,3.7
2026-14,케이블,3,tvN,대한민국에서 건물주 되는 법,2.3
2026-14,케이블,8,tvN,대한민국에서 건물주 되는 법 요약,0.5
