week,segment,rank,channel,title,rating
2026-37,지상파,1,KBS2,사랑이 온다,15.4
2026-37,지상파,2,KBS1,기쁜 우리 좋은 날,10.7
2026-37,지상파,3,MBC,유부녀 킬러,9.0
2026-37,지상파,4,KBS2,욕망의 덫,7.7
2026-37,지상파,5,SBS,재벌X형사 2,7.3
2026-37,지상파,6,MBC,가족관계증명서,5.0
2026-37,지상파,7,MBC,안나 (ANNA),3.9
2026-37,지상파,9,KBS2,너 말고 다른 연애 미리보기,1.4
2026-37,지상파,12,MBC,유부녀 킬러 하이라이트,1.2
2026-37,지상파,15,KBS2,욕망의 덫,0.6
2026-37,케이블,1,tvN,포핸즈,5.1
2026-37,케이블,2,ENA,신병4 : 사보타주,3.5
2026-37,케이블,3,tvN,최애의 사원,3.4
2026-37,케이블,19,KBS Drama,"그래, 이혼하자",0.3
